route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
298-221,Weekday-4,1261-29802-40800-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-40800-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Daily-2,1261-29802-42600-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Daily-3,1261-29802-42600-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
783-221,Weekday-1,1274-78301-46800-2-430ffee9,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekday-1,1274-78301-50400-2-430ffee9,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekend-1,1274-78301-50400-2-e87c50c6,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekday-1,1274-78301-54000-2-a682feb1,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekend-1,1274-78301-54000-2-e87c50c6,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekday-1,1274-78301-57600-2-04ce4419,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
298-221,Weekday-4,1261-29802-44400-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-44400-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Daily-2,1261-29802-46200-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Daily-3,1261-29802-46200-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
783-221,Weekend-1,1274-78301-57600-2-e87c50c6,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekday-1,1274-78301-61200-2-04ce4419,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekend-1,1274-78301-61200-2-e87c50c6,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekend-1,1274-78301-64800-2-e87c50c6,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekday-1,1274-78301-68400-2-fa73aadf,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekend-1,1274-78301-72000-2-e87c50c6,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
298-221,Weekday-4,1261-29802-48000-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-48000-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Daily-2,1261-29802-49800-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Daily-3,1261-29802-49800-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
783-221,Weekday-1,1274-78301-72000-2-fa73aadf,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekend-1,1274-78301-75600-2-e87c50c6,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekday-1,1274-78301-75600-2-fa73aadf,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekday-1,1274-78301-79200-2-309e3f86,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekend-1,1274-78301-79200-2-e87c50c6,Eastern Bays Circuit Clockwise,,0,,1274-78301-4d62fbdd,0,0
783-221,Weekday-1,1274-78302-23400-2-6aaca1cc,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
298-221,Weekday-4,1261-29802-51600-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-51600-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Daily-2,1261-29802-53400-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Daily-3,1261-29802-53400-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
783-221,Weekend-1,1274-78302-23400-2-f17c763f,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekday-1,1274-78302-27000-2-6aaca1cc,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekend-1,1274-78302-27000-2-f17c763f,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekday-1,1274-78302-30600-2-ab0242ef,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekend-1,1274-78302-30600-2-f17c763f,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
298-221,Weekday-4,1261-29802-54600-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-54600-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Weekday-4,1261-29802-55800-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-55800-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
783-221,Weekday-1,1274-78302-34200-2-ab0242ef,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekend-1,1274-78302-34200-2-f17c763f,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekday-1,1274-78302-37800-2-7585d97a,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekend-1,1274-78302-37800-2-f17c763f,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekday-1,1274-78302-41400-2-7585d97a,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
